dist,x,y,dsm,dtm
200.0732365,241180.5291,79189.07305,276.829987,240.934113
215.4634855,241194.1174,79196.29937,267.600006,241.50177
230.8537345,241207.7056,79203.52568,278.76001,241.674255
246.2439834,241221.2939,79210.75199,269.01001,241.329987
261.6342324,241234.8821,79217.97831,269.679993,240.703812
277.0244814,241248.4703,79225.20462,283.75,239.580002
292.4147303,241262.0586,79232.43093,276.470001,237.417068
307.8049793,241275.6468,79239.65725,288.209991,235.540649
323.1952283,241289.235,79246.88356,302.559998,233.569305
338.5854772,241302.8233,79254.10988,260.829987,231.349777
353.9757262,241316.4115,79261.33619,249.119995,229.364151
369.3659752,241329.9997,79268.5625,233.619995,228.442444
384.7562241,241343.588,79275.78882,227.740005,227.582001
400.1464731,241357.1762,79283.01513,244.210007,227.855988
415.536722,241370.7644,79290.24144,230.440002,228.054138
430.926971,241384.3527,79297.46776,229.809998,228.22348
446.31722,241397.9409,79304.69407,233.320007,227.918289
461.7074689,241411.5292,79311.92039,256.549988,227.642654
477.0977179,241425.1174,79319.1467,234.529999,227.632904
492.4879669,241438.7056,79326.37301,252.570007,227.49144
507.8782158,241452.2939,79333.59933,254.690002,227.515625
523.2684648,241465.8821,79340.82564,230.300003,227.429504
538.6587138,241479.4703,79348.05195,231.039993,229.178375
554.0489627,241493.0586,79355.27827,230.770004,228.495361
569.4392117,241506.6468,79362.50458,229.949997,227.557465
584.8294607,241520.235,79369.73089,232.350006,226.880157
600.2197096,241533.8233,79376.95721,230.820007,226.759995
615.6099586,241547.4115,79384.18352,245.210007,228.014816
631.0002076,241560.9997,79391.40984,253.630005,230.568817
646.3904565,241574.588,79398.63615,258.200012,232.170227
661.7807055,241588.1762,79405.86246,257.859985,232.63147
677.1709544,241601.7645,79413.08878,265.119995,232.023895
692.5612034,241615.3527,79420.31509,267.51001,231.057404
707.9514524,241628.9409,79427.5414,264.450012,229.272766
723.3417013,241642.5292,79434.76772,265.429993,226.765854
738.7319503,241656.1174,79441.99403,265.220001,226.583694
754.1221993,241669.7056,79449.22035,252.949997,226.720459
769.5124482,241683.2939,79456.44666,250.330002,224.985306
784.9026972,241696.8821,79463.67297,256.940002,225.962967
800.2929462,241710.4703,79470.89929,246.369995,226.38118
815.6831951,241724.0586,79478.1256,251.729996,225.544418
831.0734441,241737.6468,79485.35191,244.220001,225.418625
846.4636931,241751.2351,79492.57823,228.309998,225.839996
861.853942,241764.8233,79499.80454,258.079987,230.226669
877.244191,241778.4115,79507.03086,277.079987,232.787903
892.63444,241791.9998,79514.25717,273.720001,234.400299
908.0246889,241805.588,79521.48348,262.799988,235.419388
923.4149379,241819.1762,79528.7098,264.790009,235.821716
938.8051868,241832.7645,79535.93611,264.170013,235.49176
954.1954358,241846.3527,79543.16242,263.170013,235
969.5856848,241859.9409,79550.38874,280.140015,233.664597
984.9759337,241873.5292,79557.61505,274.519989,232.10759
1000.366183,241887.1174,79564.84137,261.570007,229.736588
1015.756432,241900.7056,79572.06768,258.130005,227.487991
1031.146681,241914.2939,79579.29399,250.710007,223.799042
1046.53693,241927.8821,79586.52031,234.919998,220.289703
1061.927179,241941.4704,79593.74662,248.520004,218.832977
1077.317428,241955.0586,79600.97293,259.26001,220.525406
1092.707677,241968.6468,79608.19925,243.080002,222.200256
1108.097925,241982.2351,79615.42556,256.420013,225.39183
1123.488174,241995.8233,79622.65187,254.229996,227.882126
1138.878423,242009.4115,79629.87819,276.070007,230.346649
1154.268672,242022.9998,79637.1045,279.309998,232.031448
1169.658921,242036.588,79644.33082,250.339996,233.43631
1185.04917,242050.1762,79651.55713,252.720001,233.89415
1200.439419,242063.7645,79658.78344,277.769989,233.535843
1215.829668,242077.3527,79666.00976,267.149994,232.660492
1231.219917,242090.9409,79673.23607,271.959991,231.747635
1246.610166,242104.5292,79680.46238,267.309998,230.43512
1262.000415,242118.1174,79687.6887,265.790009,229.013489
1277.390664,242131.7057,79694.91501,244.960007,227.583298
1292.780913,242145.2939,79702.14133,261.880005,225.486877
1308.171162,242158.8821,79709.36764,260.549988,223.130005
1323.561411,242172.4704,79716.59395,242.220001,219.436493
1338.95166,242186.0586,79723.82027,225.789993,218.019989
1354.341909,242199.6468,79731.04658,253.710007,220.511017
1369.732158,242213.2351,79738.27289,289.029999,222.978836
1385.122407,242226.8233,79745.49921,281.380005,226.289993
1400.512656,242240.4115,79752.72552,258.970001,229.490005
1415.902905,242253.9998,79759.95184,257.070007,232.857727
1431.293154,242267.588,79767.17815,289.089996,234.978271
1446.683403,242281.1762,79774.40446,306.76001,236.839996
1462.073652,242294.7645,79781.63078,307.769989,238.109543
1477.463901,242308.3527,79788.85709,241.259995,239.456665
1492.85415,242321.941,79796.0834,298.559998,241.259705
1508.244399,242335.5292,79803.30972,307.440002,243.010422
1523.634648,242349.1174,79810.53603,263.140015,242.968842
1539.024896,242362.7057,79817.76235,264.579987,243.703598
1554.415145,242376.2939,79824.98866,276,244.677917
1569.805394,242389.8821,79832.21497,275.630005,244.916748
1585.195643,242403.4704,79839.44129,314.029999,244.936234
1600.585892,242417.0586,79846.6676,303.369995,244.337326
1615.976141,242430.6468,79853.89391,302.950012,243.550613
1631.36639,242444.2351,79861.12023,291.529999,242.296677
1646.756639,242457.8233,79868.34654,267.890015,240.876404
1662.146888,242471.4116,79875.57285,272.549988,239.821945
1677.537137,242484.9998,79882.79917,281.940002,239.641098
1692.927386,242498.588,79890.02548,282.230011,239.851349
1708.317635,242512.1763,79897.2518,268.690002,240.312378
1723.707884,242525.7645,79904.47811,282.089996,241.354782
1739.098133,242539.3527,79911.70442,273.480011,242.555695
1754.488382,242552.941,79918.93074,273.709991,243.977554
1769.878631,242566.5292,79926.15705,285.480011,245.847992
1785.26888,242580.1174,79933.38336,286.880005,247.685165
1800.659129,242593.7057,79940.60968,273.070007,249.556366
1816.049378,242607.2939,79947.83599,269.890015,252.111221
1831.439627,242620.8821,79955.06231,261.220001,254.940002
1846.829876,242634.4704,79962.28862,288.730011,257.152588
1862.220125,242648.0586,79969.51493,276.019989,260.369995
1877.610374,242661.6469,79976.74125,300.890015,263.967865
1893.000623,242675.2351,79983.96756,296.390015,268.93338
1908.390872,242688.8233,79991.19387,295.559998,275.047852
1923.781121,242702.4116,79998.42019,321.209991,281.498169
1939.17137,242715.9998,80005.6465,327.630005,287.909058
1954.561619,242729.588,80012.87282,321.820007,296.579987
1969.951867,242743.1763,80020.09913,327.309998,304.956665
1985.342116,242756.7645,80027.32544,329.070007,310.742645
2000.732365,242770.3527,80034.55176,359.950012,317.197876
2016.122614,242783.941,80041.77807,343.459991,323.904907
2031.512863,242797.5292,80049.00438,350.100006,329.130005
2046.903112,242811.1174,80056.2307,355.440002,339.192596
2062.293361,242824.7057,80063.45701,377.679993,348.495605
2077.68361,242838.2939,80070.68333,375.630005,356.867096
2093.073859,242851.8822,80077.90964,386.519989,363.168732
2108.464108,242865.4704,80085.13595,403.279999,370.358093
2123.854357,242879.0586,80092.36227,394.100006,378.263275
2139.244606,242892.6469,80099.58858,402.73999,388.221802
2154.634855,242906.2351,80106.81489,434.51001,397.39621
2170.025104,242919.8233,80114.04121,435.200012,403.500977
2185.415353,242933.4116,80121.26752,460.140015,406.683044
2200.805602,242946.9998,80128.49384,457.899994,404.570892
2216.195851,242960.588,80135.72015,434.019989,400.773346
2231.5861,242974.1763,80142.94646,423.859985,394.099274
2246.976349,242987.7645,80150.17278,426.25,386.187714
2262.366598,243001.3527,80157.39909,412.670013,375.084076
2277.756847,243014.941,80164.6254,377.709991,362.945374
2293.147096,243028.5292,80171.85172,370.649994,352.694397
2308.537345,243042.1175,80179.07803,375.070007,347.419983
2323.927594,243055.7057,80186.30434,366.970001,341.839355
2339.317843,243069.2939,80193.53066,352.859985,335.759918
2354.708092,243082.8822,80200.75697,341.640015,330.25
2370.098341,243096.4704,80207.98329,351.880005,323.594788
2385.48859,243110.0586,80215.2096,353.690002,316.883362
2400.878839,243123.6469,80222.43591,342.76001,311.03775
2416.269087,243137.2351,80229.66223,337.98999,304.711761
2431.659336,243150.8233,80236.88854,319.839996,298.881805
2447.049585,243164.4116,80244.11485,318.73999,292.566315
2462.439834,243177.9998,80251.34117,321.640015,286.217468
2477.830083,243191.5881,80258.56748,318.440002,278.930542
2493.220332,243205.1763,80265.7938,338.829987,271.650085
2508.610581,243218.7645,80273.02011,312.579987,263.895142
2524.00083,243232.3528,80280.24642,287.869995,256.074036
2539.391079,243245.941,80287.47274,278.579987,249.288208
2554.781328,243259.5292,80294.69905,279.809998,243.162231
2570.171577,243273.1175,80301.92536,257.619995,238.144714
2585.561826,243286.7057,80309.15168,257.390015,233.584091
2600.952075,243300.2939,80316.37799,248.309998,229.649994
2616.342324,243313.8822,80323.60431,249.300003,226.273361
2631.732573,243327.4704,80330.83062,256.829987,223.001129
2647.122822,243341.0586,80338.05693,239.660004,219.63176
2662.513071,243354.6469,80345.28325,222.759995,217.008469
2677.90332,243368.2351,80352.50956,233.289993,215.100464
2693.293569,243381.8234,80359.73587,222.179993,214.270004
2708.683818,243395.4116,80366.96219,223.029999,213.800003
2724.074067,243408.9998,80374.1885,240.919998,213.617767
2739.464316,243422.5881,80381.41482,234.089996,214.572617
2754.854565,243436.1763,80388.64113,236.630005,214.915329
2770.244814,243449.7645,80395.86744,253.350006,217.028229
2785.635063,243463.3528,80403.09376,246.869995,220.291901
2801.025312,243476.941,80410.32007,270.470001,222.799576
2816.415561,243490.5292,80417.54638,278.809998,224.954056
2831.80581,243504.1175,80424.7727,285.51001,226.743698
2847.196058,243517.7057,80431.99901,291.329987,228.312073
2862.586307,243531.2939,80439.22532,292.149994,229.602646
2877.976556,243544.8822,80446.45164,271.429993,230.534653
2893.366805,243558.4704,80453.67795,273.950012,231.05928
2908.757054,243572.0587,80460.90427,271.829987,230.631165
2924.147303,243585.6469,80468.13058,269.950012,230.164688
2939.537552,243599.2351,80475.35689,252.550003,229.036026
2954.927801,243612.8234,80482.58321,272.809998,227.285141
2970.31805,243626.4116,80489.80952,256.459991,225.040558
2985.708299,243639.9998,80497.03583,262.51001,221.737381
3001.098548,243653.5881,80504.26215,249.929993,218.041077
3016.488797,243667.1763,80511.48846,265.390015,215.04747
3031.879046,243680.7645,80518.71478,264.410004,213.311218
3047.269295,243694.3528,80525.94109,246.740005,214.331543
3062.659544,243707.941,80533.1674,255.419998,216.781937
3078.049793,243721.5292,80540.39372,255.690002,219.959854
3093.440042,243735.1175,80547.62003,244.149994,222.762604
3108.830291,243748.7057,80554.84634,264,224.084869
3124.22054,243762.294,80562.07266,268.809998,223.542587
3139.610789,243775.8822,80569.29897,259.929993,220.76442
3155.001038,243789.4704,80576.52529,241.800003,215.960251
3170.391287,243803.0587,80583.7516,226.970001,210.719269
3185.781536,243816.6469,80590.97791,224.509995,208.375443
3201.171785,243830.2351,80598.20423,227.75,211.829803
3216.562034,243843.8234,80605.43054,230.449997,214.093475
3231.952283,243857.4116,80612.65685,236.740005,215.285126
3247.342532,243870.9998,80619.88317,237.630005,214.434631
3262.732781,243884.5881,80627.10948,234.699997,214.250092
3278.123029,243898.1763,80634.3358,225.119995,215.838104
3293.513278,243911.7646,80641.56211,233.509995,216.490967
3308.903527,243925.3528,80648.78842,253.889999,218.088806
3324.293776,243938.941,80656.01474,253.029999,220.37886
3339.684025,243952.5293,80663.24105,246.779999,225.124588
3355.074274,243966.1175,80670.46736,248.25,229.77002
3370.464523,243979.7057,80677.69368,253.130005,232.88974
3385.854772,243993.294,80684.91999,255.509995,235.391754
3401.245021,244006.8822,80692.1463,266.579987,238.119858
3416.63527,244020.4704,80699.37262,260.980011,241.163071
3432.025519,244034.0587,80706.59893,271.709991,243.891846
3447.415768,244047.6469,80713.82525,279.910004,245.254135
3462.806017,244061.2351,80721.05156,275.470001,245.373154
3478.196266,244074.8234,80728.27787,271.070007,243.585175
3493.586515,244088.4116,80735.50419,258.98999,240.859024
3508.976764,244101.9999,80742.7305,266.079987,236.649384
3524.367013,244115.5881,80749.95681,248.869995,230.186249
3539.757262,244129.1763,80757.18313,241.259995,223.277206
3555.147511,244142.7646,80764.40944,249.240005,216.08136
3570.53776,244156.3528,80771.63576,236.429993,210.598358
3585.928009,244169.941,80778.86207,240.020004,208.106766
3601.318258,244183.5293,80786.08838,232.020004,204.618103
3616.708507,244197.1175,80793.3147,225.949997,204.745728
3632.098756,244210.7057,80800.54101,242.089996,204.670776
3647.489005,244224.294,80807.76732,255.550003,203.313736
3662.879254,244237.8822,80814.99364,204.539993,203.800003
3678.269503,244251.4704,80822.21995,237,210.084488
3693.659752,244265.0587,80829.44627,247.139999,217.81842
3709.050001,244278.6469,80836.67258,263.579987,224.208145
3724.440249,244292.2352,80843.89889,262.420013,231.156799
3739.830498,244305.8234,80851.12521,272.720001,236.531189
3755.220747,244319.4116,80858.35152,277.26001,241.535431
3770.610996,244332.9999,80865.57783,264.640015,246.714844
3786.001245,244346.5881,80872.80415,283.25,251.450775
3801.391494,244360.1763,80880.03046,283.679993,254.74646
3816.781743,244373.7646,80887.25678,290.179993,256.264557
3832.171992,244387.3528,80894.48309,283.410004,257.430359
3847.562241,244400.941,80901.7094,281.519989,257.693481
3862.95249,244414.5293,80908.93572,283.98999,257.21402
3878.342739,244428.1175,80916.16203,290.200012,256.019867
3893.732988,244441.7057,80923.38834,288.269989,254.600006
3909.123237,244455.294,80930.61466,276.579987,252.044342
3924.513486,244468.8822,80937.84097,280.26001,249.577972
3939.903735,244482.4705,80945.06729,271.850006,246.743103
3955.293984,244496.0587,80952.2936,270.839996,243.292831
3970.684233,244509.6469,80959.51991,264.559998,239.458664
3986.074482,244523.2352,80966.74623,263.420013,234.453339
4001.464731,244536.8234,80973.97254,276.149994,229.564789
4016.85498,244550.4116,80981.19885,279.609985,224.236191
4032.245229,244563.9999,80988.42517,268.899994,218.779999
4047.635478,244577.5881,80995.65148,246.919998,213.980881
4063.025727,244591.1763,81002.87779,238.070007,209.442947
4078.415976,244604.7646,81010.10411,239.729996,206.603287
4093.806225,244618.3528,81017.33042,232.320007,203.758118
4109.196474,244631.941,81024.55674,211.460007,201.452194
4124.586723,244645.5293,81031.78305,223.089996,199.892914
4139.976972,244659.1175,81039.00936,214.029999,200.001007
4155.36722,244672.7058,81046.23568,227.990005,199.716431
4170.757469,244686.294,81053.46199,222.970001,200.093781
4186.147718,244699.8822,81060.6883,237.210007,200.667542
4201.537967,244713.4705,81067.91462,215.110001,201.270004
4216.928216,244727.0587,81075.14093,214.960007,202.803329
4232.318465,244740.6469,81082.36725,214.419998,204.446732
4247.708714,244754.2352,81089.59356,227.039993,206.787704
