dist,x,y,height,dsm,dtm
50.84497165,243257.6093,80569.77736,5.694867,226.149994,220.460541
52.02741285,243258.2399,80568.7771,5.061775,225.639999,220.640915
53.20985405,243258.8705,80567.77685,4.305965,225.059998,220.793884
54.39229525,243259.5011,80566.77659,4.054691,225.050003,221.065186
55.57473645,243260.1317,80565.77633,5.138054,226.390686,221.286697
56.75717765,243260.7623,80564.77608,4.234885,225.660004,221.406097
57.93961885,243261.3929,80563.77582,13.254525,234.839996,221.550369
59.12206005,243262.0235,80562.77556,12.446605,234.039993,221.656647
60.30450125,243262.6541,80561.7753,12.947197,234.699997,221.814499
61.48694246,243263.2847,80560.77505,11.936531,234,222.035309
62.66938366,243263.9153,80559.77479,12.742095,234.869995,222.200882
65.03426606,243265.1765,80557.77427,12.713586,235.300003,222.540192
66.21670726,243265.8071,80556.77402,9.648752,232.429993,222.730606
67.39914846,243266.4377,80555.77376,11.253139,234.119995,222.855133
68.58158966,243267.0683,80554.7735,10.960882,233.949997,222.963165
69.76403086,243267.6988,80553.77325,10.353965,233.399994,223.151581
70.94647206,243268.3294,80552.77299,10.355767,233.550003,223.193512
73.31135447,243269.5906,80550.77247,7.456986,231.039993,223.503754
74.49379567,243270.2212,80549.77222,6.218471,229.869995,223.651291
75.67623687,243270.8518,80548.77196,32.974316,256.730011,223.811737
76.85867807,243271.4824,80547.7717,17.859686,241.76944,223.912018
78.04111927,243272.113,80546.77144,10.128718,234.210007,224.017349
79.22356047,243272.7436,80545.77119,34.547104,258.899994,224.247513
80.40600167,243273.3742,80544.77093,6.7183,231.179993,224.403122
81.58844287,243274.0048,80543.77067,12.539776,237.020004,224.545563
82.77088408,243274.6354,80542.77042,15.442619,240.160004,224.738342
83.95332528,243275.266,80541.77016,10.414868,235.399994,224.913803
85.13576648,243275.8966,80540.7699,10.594788,235.720001,225.093124
86.31820768,243276.5272,80539.76964,12.515399,237.740005,225.15979
87.50064888,243277.1578,80538.76939,12.688725,237.899994,225.256134
